date,open,high,low,close,volume,average,barCount
2025-03-20,1.432775,1.44016,1.4313,1.432525,-1.0,-1.0,-1
2025-03-21,1.4326,1.437305,1.43139,1.43469,-1.0,-1.0,-1
2025-03-24,1.4354,1.435455,1.428925,1.431835,-1.0,-1.0,-1
2025-03-25,1.43167,1.43328,1.42712,1.42776,-1.0,-1.0,-1
2025-03-26,1.42833,1.42984,1.423515,1.42662,-1.0,-1.0,-1
2025-03-27,1.4268,1.432915,1.42597,1.43051,-1.0,-1.0,-1
2025-03-28,1.430945,1.43332,1.42764,1.430765,-1.0,-1.0,-1
2025-03-31,1.430775,1.4396,1.42993,1.43872,-1.0,-1.0,-1
2025-04-01,1.438685,1.44153,1.429865,1.43029,-1.0,-1.0,-1
2025-04-02,1.430225,1.43665,1.42298,1.423885,-1.0,-1.0,-1
2025-04-03,1.42255,1.43193,1.402745,1.40976,-1.0,-1.0,-1
2025-04-04,1.409075,1.42592,1.40538,1.42144,-1.0,-1.0,-1
2025-04-07,1.42535,1.429635,1.41793,1.424825,-1.0,-1.0,-1
2025-04-08,1.424625,1.42721,1.41434,1.426355,-1.0,-1.0,-1
2025-04-09,1.426265,1.42738,1.4075,1.4082,-1.0,-1.0,-1
2025-04-10,1.409125,1.41107,1.39519,1.398085,-1.0,-1.0,-1
2025-04-11,1.3984,1.398785,1.383955,1.387465,-1.0,-1.0,-1
2025-04-14,1.38608,1.39108,1.382885,1.387525,-1.0,-1.0,-1
2025-04-15,1.38503,1.397785,1.38502,1.395475,-1.0,-1.0,-1
2025-04-16,1.395755,1.39655,1.38556,1.38584,-1.0,-1.0,-1
2025-04-17,1.3862,1.39062,1.382845,1.383595,-1.0,-1.0,-1
2025-04-18,1.3846,1.38699,1.38321,1.384435,-1.0,-1.0,-1
2025-04-21,1.382555,1.38501,1.378105,1.384195,-1.0,-1.0,-1
2025-04-22,1.385,1.386195,1.379315,1.3814,-1.0,-1.0,-1
2025-04-23,1.3813,1.390475,1.379825,1.38814,-1.0,-1.0,-1
2025-04-24,1.388125,1.38991,1.383975,1.385125,-1.0,-1.0,-1
2025-04-25,1.385225,1.38927,1.3846,1.38609,-1.0,-1.0,-1
2025-04-28,1.3866,1.389285,1.38167,1.38294,-1.0,-1.0,-1
2025-04-29,1.3832,1.387155,1.38087,1.38325,-1.0,-1.0,-1
2025-04-30,1.38375,1.385555,1.377005,1.379855,-1.0,-1.0,-1
2025-05-01,1.37915,1.38624,1.378425,1.38546,-1.0,-1.0,-1
2025-05-02,1.3835,1.385585,1.37602,1.380515,-1.0,-1.0,-1
2025-05-05,1.3799,1.382985,1.37867,1.38248,-1.0,-1.0,-1
2025-05-06,1.383225,1.38454,1.375055,1.377785,-1.0,-1.0,-1
2025-05-07,1.376925,1.38398,1.376375,1.383875,-1.0,-1.0,-1
2025-05-08,1.3832,1.39331,1.38136,1.39234,-1.0,-1.0,-1
2025-05-09,1.39273,1.39447,1.39067,1.393845,-1.0,-1.0,-1
2025-05-12,1.3902,1.40158,1.3902,1.397445,-1.0,-1.0,-1
2025-05-13,1.396,1.40164,1.393105,1.393615,-1.0,-1.0,-1
2025-05-14,1.393585,1.39863,1.39017,1.398265,-1.0,-1.0,-1
2025-05-15,1.39773,1.40048,1.39558,1.3959,-1.0,-1.0,-1
2025-05-16,1.39628,1.39957,1.39354,1.397385,-1.0,-1.0,-1
2025-05-19,1.3968,1.397305,1.39174,1.395135,-1.0,-1.0,-1
2025-05-20,1.39483,1.396865,1.3909,1.391575,-1.0,-1.0,-1
2025-05-21,1.39165,1.391975,1.381435,1.385995,-1.0,-1.0,-1
2025-05-22,1.385075,1.38892,1.384635,1.385705,-1.0,-1.0,-1
2025-05-23,1.3887,1.3887,1.370945,1.37272,-1.0,-1.0,-1
2025-05-26,1.37365,1.374225,1.368625,1.373555,-1.0,-1.0,-1
2025-05-27,1.372975,1.38362,1.372225,1.38097,-1.0,-1.0,-1
2025-05-28,1.381575,1.384475,1.380165,1.38369,-1.0,-1.0,-1
2025-05-29,1.383025,1.386185,1.378515,1.380915,-1.0,-1.0,-1
2025-05-30,1.381,1.383015,1.37141,1.37391,-1.0,-1.0,-1
2025-06-02,1.374,1.374155,1.367445,1.37139,-1.0,-1.0,-1
2025-06-03,1.3713,1.374315,1.370125,1.372025,-1.0,-1.0,-1
2025-06-04,1.3719,1.37318,1.36524,1.367815,-1.0,-1.0,-1
2025-06-05,1.3675,1.368435,1.36346,1.367515,-1.0,-1.0,-1
2025-06-06,1.3671,1.37047,1.366045,1.369535,-1.0,-1.0,-1
2025-06-09,1.3694,1.37077,1.36696,1.370005,-1.0,-1.0,-1
2025-06-10,1.36953,1.37287,1.366815,1.367035,-1.0,-1.0,-1
2025-06-11,1.3675,1.36902,1.36498,1.367235,-1.0,-1.0,-1
2025-06-12,1.36695,1.36756,1.359965,1.36037,-1.0,-1.0,-1
2025-06-13,1.36055,1.36518,1.356645,1.35885,-1.0,-1.0,-1
2025-06-16,1.358675,1.360705,1.35398,1.35708,-1.0,-1.0,-1
2025-06-17,1.356905,1.369375,1.35567,1.367855,-1.0,-1.0,-1
